tran_id	gene_id	col3	translen
ENST00000400020.7	ENSG00000101745.16	NULL	9115
ENST00000577992.1	ENSG00000101745.16	NULL	390
ENST00000573216.5	ENSG00000172270.18	NULL	545
ENST00000333511.7	ENSG00000172270.18	NULL	1974
ENST00000562733.1	ENSG00000155666.11	NULL	560
ENST00000441782.6	ENSG00000155666.11	NULL	1612
ENST00000532782.1	ENSG00000166266.13	NULL	388
ENST00000393094.6	ENSG00000166266.13	NULL	6351
ENST00000586150.5	ENSG00000141458.12	NULL	571
ENST00000593280.2	ENSG00000141458.12	NULL	1607
ENST00000617714.1	ENSG00000237412.6	NULL	2158
ENST00000449534.6	ENSG00000237412.6	NULL	2157
ENST00000614798.1	ENSG00000173198.5	NULL	2681
ENST00000373304.3	ENSG00000173198.5	NULL	2576
ENST00000617961.1	ENSG00000128965.11	NULL	1498
ENST00000617768.4	ENSG00000128965.11	NULL	1560
ENST00000354361.3	ENSG00000117614.9	NULL	926
ENST00000236273.8	ENSG00000117614.9	NULL	1345
ENST00000460672.6	ENSG00000182162.10	NULL	407
ENST00000381297.9	ENSG00000182162.10	NULL	4198
ENST00000296932.12	ENSG00000112414.14	NULL	6849
ENST00000367609.7	ENSG00000112414.14	NULL	6887
ENST00000374084.2	ENSG00000090020.10	NULL	695
ENST00000263980.7	ENSG00000090020.10	NULL	4516
ENST00000453723.5	ENSG00000167711.13	NULL	838
ENST00000382061.4	ENSG00000167711.13	NULL	2265
ENST00000373826.3	ENSG00000188060.7	NULL	1950
ENST00000465518.2	ENSG00000188060.7	NULL	857
ENST00000254616.10	ENSG00000132286.11	NULL	2840
ENST00000530751.1	ENSG00000132286.11	NULL	809
ENST00000596605.1	ENSG00000125656.8	NULL	646
ENST00000596149.5	ENSG00000125656.8	NULL	745
ENST00000472796.2	ENSG00000178467.17	NULL	598
ENST00000444213.5	ENSG00000178467.17	NULL	678
ENST00000564373.1	ENSG00000186118.8	NULL	637
ENST00000415500.1	ENSG00000186118.8	NULL	566
ENST00000415597.5	ENSG00000071282.11	NULL	870
ENST00000454244.4	ENSG00000071282.11	NULL	1113
ENST00000316286.13	ENSG00000197362.14	NULL	3144
ENST00000491431.1	ENSG00000197362.14	NULL	2874
ENST00000642057.1	ENSG00000232382.2	NULL	3466
ENST00000332650.5	ENSG00000232382.2	NULL	1097
ENST00000292779.3	ENSG00000161180.10	NULL	2260
ENST00000607942.5	ENSG00000161180.10	NULL	1913
ENST00000448666.5	ENSG00000115275.11	NULL	1616
ENST00000414701.1	ENSG00000115275.11	NULL	520
ENST00000330244.10	ENSG00000182774.10	NULL	592
ENST00000561157.5	ENSG00000182774.10	NULL	1909
ENST00000263257.5	ENSG00000104967.6	NULL	7803
ENST00000596784.1	ENSG00000104967.6	NULL	698
ENST00000552115.5	ENSG00000061987.15	NULL	3760
ENST00000552738.5	ENSG00000061987.15	NULL	5543
ENST00000420584.3	ENSG00000064995.16	NULL	1465
ENST00000361288.8	ENSG00000064995.16	NULL	1580
ENST00000512649.1	ENSG00000172058.15	NULL	846
ENST00000512868.6	ENSG00000172058.15	NULL	532
ENST00000443496.5	ENSG00000012223.12	NULL	2656
ENST00000431944.1	ENSG00000012223.12	NULL	584
ENST00000394113.5	ENSG00000154227.13	NULL	2045
ENST00000284382.8	ENSG00000154227.13	NULL	3894
ENST00000443512.1	ENSG00000231213.6	NULL	1969
ENST00000492200.5	ENSG00000231213.6	NULL	1058
ENST00000420954.6	ENSG00000173406.15	NULL	1817
ENST00000371236.6	ENSG00000173406.15	NULL	5298
ENST00000379095.4	ENSG00000182768.8	NULL	7237
ENST00000411845.3	ENSG00000182768.8	NULL	388
ENST00000341923.10	ENSG00000029725.16	NULL	2490
ENST00000575991.1	ENSG00000029725.16	NULL	551
ENST00000312053.8	ENSG00000174837.14	NULL	3128
ENST00000250572.12	ENSG00000174837.14	NULL	2939
ENST00000627916.2	ENSG00000145725.19	NULL	6010
ENST00000507921.5	ENSG00000145725.19	NULL	1516
ENST00000409601.1	ENSG00000065911.11	NULL	1865
ENST00000394053.6	ENSG00000065911.11	NULL	4456
ENST00000417056.5	ENSG00000135842.16	NULL	602
ENST00000367511.3	ENSG00000135842.16	NULL	6928
ENST00000381154.5	ENSG00000006756.15	NULL	5159
ENST00000458014.1	ENSG00000006756.15	NULL	580
ENST00000369449.6	ENSG00000155962.12	NULL	2655
ENST00000321926.4	ENSG00000155962.12	NULL	629
ENST00000434373.3	ENSG00000122507.20	NULL	1982
ENST00000350941.7	ENSG00000122507.20	NULL	3899
ENST00000554848.5	ENSG00000142208.15	NULL	1595
ENST00000349310.7	ENSG00000142208.15	NULL	2866
ENST00000396502.5	ENSG00000256660.5	NULL	3029
ENST00000338896.9	ENSG00000256660.5	NULL	1097
ENST00000599694.1	ENSG00000105122.12	NULL	1473
ENST00000609274.5	ENSG00000105122.12	NULL	1717
ENST00000457170.6	ENSG00000105792.19	NULL	1545
ENST00000389297.8	ENSG00000105792.19	NULL	3902
ENST00000312233.4	ENSG00000174332.5	NULL	2812
ENST00000628545.1	ENSG00000174332.5	NULL	2807
ENST00000526986.5	ENSG00000174165.7	NULL	1424
ENST00000310442.4	ENSG00000174165.7	NULL	4721
ENST00000494707.5	ENSG00000156313.12	NULL	426
ENST00000318842.11	ENSG00000156313.12	NULL	3108
ENST00000254898.6	ENSG00000132561.13	NULL	4106
ENST00000519585.5	ENSG00000132561.13	NULL	600
ENST00000396969.8	ENSG00000132002.7	NULL	1287
ENST00000601533.5	ENSG00000132002.7	NULL	573
ENST00000339137.7	ENSG00000187753.12	NULL	1845
ENST00000376001.7	ENSG00000187753.12	NULL	409
ENST00000414468.2	ENSG00000204524.6	NULL	1884
ENST00000354309.4	ENSG00000204524.6	NULL	2396
ENST00000613572.4	ENSG00000167968.12	NULL	1260
ENST00000320700.9	ENSG00000167968.12	NULL	1326
ENST00000315423.11	ENSG00000168884.14	NULL	1974
ENST00000503235.1	ENSG00000168884.14	NULL	1653
ENST00000566264.1	ENSG00000131634.13	NULL	1938
ENST00000253934.9	ENSG00000131634.13	NULL	1686
ENST00000557342.5	ENSG00000119705.9	NULL	408
ENST00000553981.1	ENSG00000119705.9	NULL	285
ENST00000617055.4	ENSG00000175063.16	NULL	705
ENST00000356455.8	ENSG00000175063.16	NULL	850
ENST00000616990.4	ENSG00000175274.18	NULL	3567
ENST00000533937.1	ENSG00000175274.18	NULL	571
ENST00000376279.7	ENSG00000175198.15	NULL	2418
ENST00000443601.1	ENSG00000175198.15	NULL	418
ENST00000263012.10	ENSG00000103226.17	NULL	3911
ENST00000570346.1	ENSG00000103226.17	NULL	320
ENST00000248058.1	ENSG00000127515.2	NULL	930
ENST00000641129.1	ENSG00000127515.2	NULL	1847
ENST00000487389.5	ENSG00000188313.12	NULL	1443
ENST00000448787.6	ENSG00000188313.12	NULL	996
ENST00000394815.2	ENSG00000167767.13	NULL	3859
ENST00000313234.9	ENSG00000167767.13	NULL	3894
ENST00000407981.6	ENSG00000186205.12	NULL	1760
ENST00000443880.1	ENSG00000186205.12	NULL	444
ENST00000327813.9	ENSG00000183762.12	NULL	2719
ENST00000407188.5	ENSG00000183762.12	NULL	1422
ENST00000360672.2	ENSG00000101082.13	NULL	2171
ENST00000262866.8	ENSG00000101082.13	NULL	2757
ENST00000614754.4	ENSG00000196588.14	NULL	3917
ENST00000618417.1	ENSG00000196588.14	NULL	1842
ENST00000626285.1	ENSG00000106244.12	NULL	120
ENST00000350498.7	ENSG00000106244.12	NULL	2546
ENST00000460972.4	ENSG00000187701.4	NULL	1136
ENST00000641652.1	ENSG00000187701.4	NULL	1285
ENST00000598564.5	ENSG00000141985.9	NULL	2194
ENST00000593591.5	ENSG00000141985.9	NULL	1036
ENST00000480405.2	ENSG00000165841.9	NULL	1417
ENST00000371321.7	ENSG00000165841.9	NULL	1901
ENST00000525364.5	ENSG00000142186.16	NULL	2584
ENST00000533862.5	ENSG00000142186.16	NULL	2570
ENST00000265007.10	ENSG00000039600.10	NULL	3265
ENST00000311371.9	ENSG00000039600.10	NULL	2716
ENST00000369014.9	ENSG00000143420.18	NULL	2085
ENST00000361631.9	ENSG00000143420.18	NULL	725
ENST00000598087.3	ENSG00000269226.7	NULL	947
ENST00000620307.4	ENSG00000269226.7	NULL	2286
ENST00000359092.7	ENSG00000167601.11	NULL	3206
ENST00000301178.8	ENSG00000167601.11	NULL	4737
ENST00000340344.4	ENSG00000160194.17	NULL	4676
ENST00000354250.6	ENSG00000160194.17	NULL	1575
ENST00000392204.6	ENSG00000105677.11	NULL	935
ENST00000222284.9	ENSG00000105677.11	NULL	899
ENST00000381210.7	ENSG00000205678.7	NULL	3573
ENST00000509536.1	ENSG00000205678.7	NULL	484
ENST00000434632.5	ENSG00000186281.12	NULL	3061
ENST00000439254.1	ENSG00000186281.12	NULL	588
ENST00000525095.2	ENSG00000151502.10	NULL	1558
ENST00000281187.9	ENSG00000151502.10	NULL	3691
ENST00000423894.5	ENSG00000187118.12	NULL	549
ENST00000466830.5	ENSG00000187118.12	NULL	6033
ENST00000381761.5	ENSG00000166762.16	NULL	1758
ENST00000432420.5	ENSG00000166762.16	NULL	252
ENST00000367505.6	ENSG00000146414.15	NULL	7201
ENST00000629427.2	ENSG00000146414.15	NULL	7338
ENST00000379164.8	ENSG00000168843.13	NULL	4757
ENST00000306100.9	ENSG00000168843.13	NULL	4831
ENST00000440364.6	ENSG00000164576.11	NULL	792
ENST00000426761.2	ENSG00000164576.11	NULL	777
ENST00000630631.1	ENSG00000074855.10	NULL	1905
ENST00000159087.6	ENSG00000074855.10	NULL	4152
ENST00000414645.6	ENSG00000156162.16	NULL	6197
ENST00000519353.5	ENSG00000156162.16	NULL	340
ENST00000636473.1	ENSG00000141837.19	NULL	1653
ENST00000585802.6	ENSG00000141837.19	NULL	2693
ENST00000517777.5	ENSG00000154734.14	NULL	598
ENST00000451462.5	ENSG00000154734.14	NULL	601
ENST00000372259.9	ENSG00000117419.14	NULL	1332
ENST00000372257.6	ENSG00000117419.14	NULL	1684
ENST00000625032.1	ENSG00000165269.12	NULL	585
ENST00000377425.8	ENSG00000165269.12	NULL	1068
ENST00000398814.7	ENSG00000140481.14	NULL	2787
ENST00000558659.5	ENSG00000140481.14	NULL	2119
ENST00000453034.5	ENSG00000173166.17	NULL	2394
ENST00000319170.9	ENSG00000173166.17	NULL	9808
ENST00000263776.8	ENSG00000110455.13	NULL	2362
ENST00000533404.1	ENSG00000110455.13	NULL	400
ENST00000628866.2	ENSG00000166986.14	NULL	2583
ENST00000630571.2	ENSG00000166986.14	NULL	216
ENST00000411955.5	ENSG00000177409.11	NULL	5831
ENST00000437805.5	ENSG00000177409.11	NULL	5757
ENST00000614256.4	ENSG00000160679.12	NULL	1840
ENST00000368694.7	ENSG00000160679.12	NULL	2096
ENST00000325106.8	ENSG00000137473.17	NULL	1785
ENST00000398886.8	ENSG00000137473.17	NULL	1729
ENST00000261707.7	ENSG00000108576.9	NULL	6604
ENST00000394821.2	ENSG00000108576.9	NULL	2160
ENST00000415944.3	ENSG00000169057.21	NULL	413
ENST00000453960.6	ENSG00000169057.21	NULL	1729
ENST00000505839.1	ENSG00000090316.15	NULL	1444
ENST00000505177.6	ENSG00000090316.15	NULL	1340
ENST00000466939.1	ENSG00000078081.7	NULL	1453
ENST00000476015.1	ENSG00000078081.7	NULL	835
ENST00000450388.7	ENSG00000182885.16	NULL	1785
ENST00000333493.8	ENSG00000182885.16	NULL	2728
ENST00000588936.5	ENSG00000104859.14	NULL	590
ENST00000591904.1	ENSG00000104859.14	NULL	506
ENST00000354433.7	ENSG00000241322.10	NULL	1557
ENST00000583965.5	ENSG00000241322.10	NULL	562
ENST00000415950.4	ENSG00000105711.11	NULL	4537
ENST00000640135.1	ENSG00000105711.11	NULL	4846
ENST00000434408.1	ENSG00000183864.4	NULL	777
ENST00000327492.3	ENSG00000183864.4	NULL	4561
ENST00000494035.1	ENSG00000100304.12	NULL	888
ENST00000216129.6	ENSG00000100304.12	NULL	3385
ENST00000347302.7	ENSG00000121417.13	NULL	2472
ENST00000391703.3	ENSG00000121417.13	NULL	2239
ENST00000487865.5	ENSG00000102471.13	NULL	1384
ENST00000620924.1	ENSG00000102471.13	NULL	2324
ENST00000547178.5	ENSG00000083454.21	NULL	1998
ENST00000345901.7	ENSG00000083454.21	NULL	2031
ENST00000436390.5	ENSG00000214706.10	NULL	2275
ENST00000426499.5	ENSG00000214706.10	NULL	664
ENST00000435395.5	ENSG00000169402.15	NULL	627
ENST00000297186.7	ENSG00000169402.15	NULL	2923
ENST00000532663.1	ENSG00000137709.9	NULL	482
ENST00000543440.6	ENSG00000137709.9	NULL	1953
ENST00000370177.1	ENSG00000125534.9	NULL	627
ENST00000370179.7	ENSG00000125534.9	NULL	868
ENST00000382911.8	ENSG00000166845.13	NULL	4056
ENST00000300091.5	ENSG00000166845.13	NULL	5237
ENST00000404136.2	ENSG00000163510.13	NULL	2392
ENST00000410053.7	ENSG00000163510.13	NULL	3280
ENST00000563910.5	ENSG00000169752.16	NULL	799
ENST00000394907.7	ENSG00000169752.16	NULL	1159
ENST00000433172.3	ENSG00000134198.9	NULL	671
ENST00000369515.6	ENSG00000134198.9	NULL	793
ENST00000435510.6	ENSG00000148572.15	NULL	1816
ENST00000277746.10	ENSG00000148572.15	NULL	1853
ENST00000507146.5	ENSG00000061918.12	NULL	2709
ENST00000513437.1	ENSG00000061918.12	NULL	2355
ENST00000536545.5	ENSG00000149948.13	NULL	1788
ENST00000393577.7	ENSG00000149948.13	NULL	611
ENST00000262113.8	ENSG00000036448.9	NULL	5014
ENST00000523438.1	ENSG00000036448.9	NULL	3328
ENST00000449733.7	ENSG00000148180.19	NULL	2702
ENST00000373818.8	ENSG00000148180.19	NULL	2657
ENST00000583369.5	ENSG00000109062.11	NULL	841
ENST00000262613.9	ENSG00000109062.11	NULL	1969
ENST00000616887.1	ENSG00000261934.2	NULL	2568
ENST00000573521.1	ENSG00000261934.2	NULL	4605
ENST00000529903.1	ENSG00000149054.15	NULL	1396
ENST00000278319.9	ENSG00000149054.15	NULL	3448
ENST00000537435.2	ENSG00000136014.11	NULL	2499
ENST00000258499.7	ENSG00000136014.11	NULL	4022
ENST00000445484.5	ENSG00000088876.11	NULL	1028
ENST00000421216.1	ENSG00000088876.11	NULL	642
ENST00000479218.6	ENSG00000126653.17	NULL	540
ENST00000588614.1	ENSG00000126653.17	NULL	497
ENST00000404743.8	ENSG00000173239.13	NULL	1439
ENST00000539337.2	ENSG00000173239.13	NULL	1197
ENST00000369940.6	ENSG00000146243.13	NULL	5656
ENST00000607739.1	ENSG00000146243.13	NULL	1387
